MoviesName,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross,Certification,Popularity
V for Vendetta,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,"1,140,572",Action,Drama,Sci-Fi,70.51,15,"1,127"
Demon Slayer the Movie: Mugen Train,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,"64,313",Animation,Action,Adventure,47.70,15,"2,043"
Ran,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,"129,112",Action,Drama,War,4.14,15,"2,733"
Gangs of Wasseypur,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,"99,325",Action,Comedy,Crime,nan,18,"4,011"
Vikram Vedha,Madhavan,Vijay Sethupathi,Shraddha Srinath,Kathir,"47,632",Action,Crime,Drama,nan,12A,"4,499"
Baahubali 2: The Conclusion,Prabh,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,"106,669",Action,Drama,nan,20.19,15,"4,642"
Yojimbo,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,"125,843",Action,Drama,Thriller,nan,A,nan
Uri: The Surgical Strike,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,"67,312",Action,Drama,History,4.19,15,nan
K.G.F,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,"91,560",Action,Crime,Drama,nan,15,nan
Sherlock Jr.,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,"52,431",Action,Comedy,Romance,0.98,U,nan
Rangasthalam,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu,"26,143",Action,Drama,nan,3.51,12A,nan
The Mountain II,Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe,Murat Serezli,"109,174",Action,Drama,War,nan,15,nan
Paan Singh Tomar,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,"37,041",Action,Biography,Crime,0.04,12A,nan
