MoviesName,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross,Certification,Popularity
Iron Man Three,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,"869,214",Action,Adventure,Sci-Fi,409.01,12A,"1,198"
WarGames,Matthew Broderick,Ally Sheedy,John Wood,Dabney Coleman,"104,371",Action,Drama,Sci-Fi,79.57,PG,"1,225"
Dredd,Karl Urban,Olivia Thirlby,Lena Headey,Rachel Wood,"282,637",Action,Crime,Sci-Fi,13.41,18,"1,270"
Snowpiercer,Chris Evan,Jamie Bell,Tilda Swinton,Ed Harris,"371,851",Action,Drama,Sci-Fi,4.56,15,"1,272"
Pirates of the Caribbean: At World's End,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush,"666,811",Action,Adventure,Fantasy,309.42,12A,"1,452"
American Made,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons,"193,315",Action,Comedy,Crime,51.34,15,"1,467"
Creed II,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,"144,241",Action,Drama,Sport,115.72,12A,"1,545"
Super Pets,Dwayne Johnson,Kevin Hart,Kate McKinnon,John Krasinski,"69,316",Animation,Action,Adventure,93.66,PG,"1,552"
Desperado,Antonio Bande,Salma Hayek,Joaquim de Almeida,Cheech Marin,"191,129",Action,Crime,Thriller,25.63,18,"1,816"
"I, Robot",Will Smith,Bridget Moynahan,Bruce Greenwood,Alan Tudyk,"554,600",Action,Mystery,Sci-Fi,144.80,12A,"1,935"
Escape from New York,Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence,"148,839",Action,Adventure,Sci-Fi,25.24,AA,"2,024"
We Were Soldiers,Mel Gibson,Madeleine Stowe,Greg Kinnear,Sam Elliott,"146,499",Action,Drama,History,78.12,15,"2,052"
Die Hard 4.0,Bruce Willi,Justin Long,Timothy Olyphant,Maggie Q,"412,401",Action,Thriller,nan,134.53,15,"2,180"
Allied,Brad Pi,Marion Cotillard,Jared Harris,Vincent Ebrahim,"162,603",Action,Drama,Romance,40.10,15,"2,275"
The Poseidon Adventure,Gene Hackman,Ernest Borgnine,Shelley Winters,Red Buttons,"47,220",Action,Adventure,Drama,84.56,A,"2,376"
Kung Fu Panda 3,Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie,"169,872",Animation,Action,Adventure,143.53,PG,"2,397"
Planet Terror,Rose McGowan,Freddy Rodríguez,Josh Brolin,Marley Shelton,"216,748",Action,Comedy,Horror,nan,18,"2,490"
Casualties of War,Michael J. Fox,Sean Penn,Don Harvey,John C. Reilly,"46,274",Action,Crime,Drama,18.67,18,"2,623"
No Way Out,Kevin Costne,Gene Hackman,Sean Young,Will Patton,"42,805",Action,Crime,Drama,35.51,15,"2,673"
Rocky Balboa,ylvester Stallone,Antonio Tarver,Milo Ventimiglia,Burt Young,"224,500",Action,Drama,Sport,70.27,12A,"2,726"
Deepwater Horizon,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,James DuMont,"174,184",Action,Drama,History,61.43,12A,"2,795"
Deja Vu,Denzel Washington,Paula Patton,Jim Caviezel,Val Kilmer,"317,753",Action,Crime,Sci-Fi,64.04,12A,"3,057"
Defiance,Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,"152,001",Action,Drama,History,28.64,15,"3,514"
Three Kings,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,"175,896",Action,Adventure,Comedy,60.65,15,"3,789"
Die Hard 2,Bruce Willi,William Atherton,Bonnie Bedelia,Reginald VelJohnson,"370,549",Action,Thriller,nan,117.54,15,"3,851"
Brawl in Cell Block 99,Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier,"70,791",Action,Crime,Drama,nan,18,"4,474"
Payback,Mel Gibson,Gregg Henry,Maria Bello,David Paymer,"141,485",Action,Crime,Drama,81.53,18,"4,647"
Flags of Our Fathers,Ryan Phillippe,Barry Pepper,Joseph Cross,Jesse Bradford,"126,141",Action,Adventure,Drama,33.60,15,"4,661"
Ong-Bak: The Thai Warrior,Tony J,Phetthai Vongkumlao,Pumwaree Yodkamol,Suchao Pongwilai,"76,388",Action,Crime,Thriller,4.56,18,nan
Rex,Kate M,Ramón Rodríguez,Tom Felton,Bradley Whitford,"25,016",Action,Biography,Drama,13.41,12,nan
District B13,Cyril Raffaelli,David Belle,Tony D'Amario,Bibi Naceri,"72,053",Action,Crime,Sci-Fi,1.20,15,nan
Mosul,Waleed Elgadi,Suhail Dabbach,Adam Bessa,Is'haq Elias,"28,472",Action,Drama,War,nan,15,nan
The Girl Who Played with Fire,Noomi Rapace,Michael Nyqvist,Lena Endre,Peter Andersson,"96,816",Action,Crime,Drama,9.08,15,nan
God Bless America,Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith,Melinda Page Hamilton,"71,031",Action,Comedy,Crime,0.12,15,nan
In Order of Disappearance,ellan Skarsgård,Bruno Ganz,Pål Sverre Hagen,Jakob Oftebro,"28,114",Action,Comedy,Crime,0.05,15,nan
Kaabil,Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy,"28,005",Action,Crime,Drama,nan,15,nan
JCVD,Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,Rock Chen,"39,625",Action,Comedy,Crime,0.47,15,nan
Dragon Ball Z: Battle of Gods,Masako Nozaw,Hiromi Tsuru,Ryô Horikawa,Masaharu Satô,"28,917",Animation,Action,Adventure,2.55,12A,nan
Don,hah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal,Isha Koppikar,"38,903",Action,Crime,Thriller,0.80,12A,nan
Micmacs,Dany Boon,André Dussollier,Nicolas Marié,Yolande Moreau,"30,796",Action,Comedy,Crime,1.26,12A,nan
Koi... Mil Gaya,Hrithik Roshan,Rekha,Preity G Zinta,Rakesh Roshan,"25,642",Action,Drama,Romance,0.68,12A,nan
Fanaa,Aamir Khan,Kajol,Rishi Kapoor,Tabu,"33,905",Action,Drama,Romance,2.10,12A,nan
Marighella,eu Jorge,Bruno Gagliasso,Luiz Carlos Vasconcelos,Humberto Carrão,"55,583",Action,Drama,History,nan,nan,nan
Enthiran,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa,Santhanam,"28,657",Action,Sci-Fi,Thriller,4.37,12A,nan
Gabbar Is Back,Akshay Kum,Shruti Haasan,Kareena Kapoor,Suman,"25,770",Action,Crime,Drama,nan,12A,nan
Sisu,Jorma Tommil,Aksel Hennie,Jack Doolan,Mimosa Willamo,"26,075",Action,War,nan,nan,15,11
Thor,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,"868,009",Action,Fantasy,nan,181.03,12A,49
Furious 6,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,"403,826",Action,Adventure,Crime,238.68,12A,107
Shazam!,Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer,"363,254",Action,Adventure,Comedy,140.37,12A,133
The Unbearable Weight of Massive Talent,Nicolas Cage,Pedro Pascal,Tiffany Haddish,Sharon Horgan,"123,638",Action,Comedy,Crime,nan,15,211
Transformers,hia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,"651,532",Action,Adventure,Sci-Fi,319.25,12A,229
The Northman,Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke,"228,080",Action,Adventure,Drama,34.23,15,285
Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,"424,832",Action,Adventure,Comedy,216.65,12A,335
Independence Day,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,"586,497",Action,Adventure,Sci-Fi,306.17,12,363
Jack Reacher,Tom Cruise,Rosamund Pike,Richard Jenkins,Werner Herzog,"349,878",Action,Mystery,Thriller,80.07,15,404
World War Z,Brad Pi,Mireille Enos,Daniella Kertesz,James Badge Dale,"687,372",Action,Adventure,Horror,202.36,15,557
Death Proof,Kurt Russell,Zoë Bell,Rosario Dawson,Vanessa Ferlito,"300,796",Action,Thriller,nan,nan,18,786
Super 8,Elle Fanning,AJ Michalka,Kyle Chandler,Joel Courtney,"360,829",Action,Mystery,Sci-Fi,127.00,12A,821
Constantine,Keanu Reeve,Rachel Weisz,Djimon Hounsou,Shia LaBeouf,"358,237",Action,Fantasy,Horror,75.98,15,943
Star Trek Beyond,Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana,"251,744",Action,Adventure,Sci-Fi,158.85,12A,962
Cloverfield,Mike Vogel,Jessica Lucas,Lizzy Caplan,T.J. Miller,"408,635",Action,Adventure,Horror,80.05,15,"1,026"
Rush Hour,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,"279,150",Action,Comedy,Crime,141.15,15,"1,066"
The Italian Job,Donald Sutherland,Mark Wahlberg,Edward Norton,Charlize Theron,"377,069",Action,Crime,Thriller,106.13,PG-13,"1,111"
Smokey and the Bandit,Burt Reynold,Sally Field,Jerry Reed,Mike Henry,"53,950",Action,Adventure,Comedy,126.74,A,"1,116"
Oblivion,Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko,"537,385",Action,Adventure,Sci-Fi,89.02,12A,"1,233"
Pitch Black,Radha Mitchell,Cole Hauser,Vin Diesel,Keith David,"246,909",Action,Horror,Sci-Fi,39.24,15,"1,250"
Stargate,Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors,"197,091",Action,Adventure,Sci-Fi,71.57,PG,"1,300"
Sicario: Day of the Soldado,Benicio Del Toro,Josh Brolin,Isabela Merced,Jeffrey Donovan,"156,223",Action,Crime,Drama,50.07,15,"1,304"
Greyhound,Tom Hank,Elisabeth Shue,Stephen Graham,Matt Helm,"103,304",Action,Drama,History,nan,12,"1,325"
Brotherhood of the Wolf,muel Le Bihan,Mark Dacascos,Jérémie Renier,Vincent Cassel,"68,677",Action,Adventure,Drama,11.26,15,"1,342"
Den of Thieves,Gerard Butle,Pablo Schreiber,O'Shea Jackson Jr.,50 Cent,"117,680",Action,Crime,Drama,44.95,15,"1,375"
RED,Bruce Willi,Helen Mirren,Morgan Freeman,Mary-Louise Parker,"315,546",Action,Comedy,Crime,90.38,12A,"1,469"
Underworld,Kate Beckinsale,Scott Speedman,Shane Brolly,Michael Sheen,"276,930",Action,Fantasy,Thriller,51.97,15,"1,505"
Spy,Melissa McCarthy,Rose Byrne,Jude Law,Jason Statham,"250,228",Action,Comedy,nan,110.83,15,"1,513"
Real Steel,Hugh Jackman,Evangeline Lilly,Dakota Goyo,Anthony Mackie,"340,335",Action,Drama,Sci-Fi,85.47,12A,"1,977"
Logan Lucky,Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie,"155,341",Action,Comedy,Crime,27.78,12A,"2,089"
22 Jump Street,Channing Tatum,Jonah Hill,Ice Cube,Nick Offerman,"389,089",Action,Comedy,Crime,191.72,15,"2,135"
Bronson,Tom Hardy,Kelly Adams,Luing Andrews,Katy Barker,"135,730",Action,Crime,Drama,0.10,18,"2,353"
Public Enemies,Christian Bale,Johnny Depp,Christian Stolte,Jason Clarke,"309,696",Action,Biography,Crime,97.10,15,"2,384"
The Last Boy Scout,Bruce Willi,Damon Wayans,Chelsea Field,Noble Willingham,"107,367",Action,Comedy,Crime,59.51,18,"2,764"
Chronicle,Dane DeHaan,Alex Russell,Michael B. Jordan,Michael Kelly,"256,687",Action,Drama,Sci-Fi,64.58,15,"2,861"
Chip 'n Dale: Rescue Rangers,Andy Samberg,John Mulaney,KiKi Layne,Will Arnett,"43,611",Animation,Action,Adventure,nan,9+,"2,921"
A Most Violent Year,Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola,"74,835",Action,Crime,Drama,5.74,15,"3,020"
Body of Lies,Leonardo DiCaprio,Russell Crowe,Mark Strong,Golshifteh Farahani,"232,958",Action,Drama,Thriller,39.39,15,"3,035"
Rambo,ylvester Stallone,Julie Benz,Matthew Marsden,Graham McTavish,"237,621",Action,Adventure,Thriller,42.75,18,"3,037"
Fallen,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,"87,082",Action,Crime,Drama,25.19,15,"3,183"
9,Elijah Wood,Jennifer Connelly,Crispin Glover,Christopher Plummer,"143,184",Animation,Action,Adventure,31.74,12A,"3,201"
Hellboy II: The Golden Army,Ron Perlman,Selma Blair,Doug Jones,John Alexander,"278,356",Action,Adventure,Fantasy,75.75,12A,"3,405"
The Foreigner,Katie Leung,Jackie Chan,Rufus Jones,Mark Tandy,"118,386",Action,Thriller,nan,34.39,15,"3,486"
The Towering Inferno,Paul Newman,Steve McQueen,William Holden,Faye Dunaway,"46,044",Action,Drama,Thriller,116.00,A,"3,563"
Ip Man 4,Donnie Yen,Scott Adkins,Danny Kwok-Kwan Chan,Vanness Wu,"34,470",Action,Biography,Drama,3.96,15,"3,811"
The Kingdom,Jamie Foxx,Chris Cooper,Jennifer Garner,Jason Bateman,"128,519",Action,Drama,Thriller,47.54,15,"3,818"
Filth,James McAvoy,Jamie Bell,Eddie Marsan,Imogen Poots,"112,304",Action,Comedy,Crime,0.03,18,"3,857"
The Spy Who Loved Me,Roger Moore,Barbara Bach,Curd Jürgens,Richard Kiel,"112,181",Action,Adventure,Thriller,46.80,A,"3,886"
Spy Game,Robert Redford,Brad Pitt,Catherine McCormack,Stephen Dillane,"161,014",Action,Crime,Thriller,0.03,15,"4,632"
Maverick,Mel Gibson,Jodie Foster,James Garner,Graham Greene,"115,168",Action,Adventure,Comedy,101.63,PG,"4,808"
Ichi the Killer,Tadanobu Asano,Nao Ômori,Shin'ya Tsukamoto,Paulyn Sun,"58,031",Action,Crime,Drama,0.02,R,"4,851"
Thunderbolt and Lightfoot,Clint Eastwood,Jeff Bridges,George Kennedy,Geoffrey Lewis,"26,888",Action,Comedy,Crime,25.00,X,"4,984"
Juice,Omar Epp,Tupac Shakur,Jermaine Hopkins,Khalil Kain,"28,598",Action,Crime,Drama,20.15,15,nan
The War of the Worlds,Gene Barry,Ann Robinson,Les Tremayne,Robert Cornthwaite,"37,145",Action,Sci-Fi,Thriller,4.36,X,nan
Son of Rambow,Bill Milne,Will Poulter,Jessica Hynes,Anna Wing,"32,512",Action,Adventure,Comedy,1.78,12A,nan
An Action Hero,Ayushmann Khurran,Jaideep Ahlawat,Neeraj Madhav,Gautam Joglekar,"29,329",Action,Comedy,Crime,nan,12A,nan
Taxi,my Naceri,Frédéric Diefenthal,Marion Cotillard,Manuela Gourary,"86,185",Action,Comedy,Crime,0.27,15,nan
Unleashed,Jet Li,Bob Hoskins,Morgan Freeman,Kerry Condon,"105,367",Action,Crime,Drama,24.52,18,nan
Ip Man 3,Donnie Yen,Lynn Xiong,Jin Zhang,Mike Tyson,"57,825",Action,Biography,Drama,2.68,12A,nan
Dragon: The Bruce Lee Story,Jason Scott Lee,Lauren Holly,Robert Wagner,Michael Learned,"31,972",Action,Biography,Drama,35.11,15,nan
The Protector,Tony J,Nathan Jones,Xing Jin,Phetthai Vongkumlao,"38,144",Action,Crime,Drama,11.91,18,nan
Curse of the Golden Flower,Chow Yun-F,Gong Li,Jay Chou,Ye Liu,"45,094",Action,Drama,Romance,6.57,R,nan
Don 2,hah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra Jonas,"55,274",Action,Crime,Thriller,3.68,12A,nan
Sultan,lman Khan,Anushka Sharma,Randeep Hooda,Amit Sadh,"48,940",Action,Drama,Romance,6.20,12A,nan
Kabir Singh,hahid Kapoo,Kiara Advani,Nikita Dutta,Soham Majumdar,"35,821",Action,Drama,Romance,nan,15,nan
Main Hoon Na,hah Rukh Khan,Sushmita Sen,Suniel Shetty,Zayed Khan,"37,745",Action,Comedy,Drama,1.72,12A,nan
The Legend,vanan Arul,Geethika,Mayilsamy,Nassar,"29,203",Action,Drama,Romance,nan,nan,nan
Vikrant Rona,udeep,Nirup Bhandari,Neetha Ashok,Jacqueline Fernandez,"27,929",Action,Crime,Drama,nan,15,nan
The Warlords,Jet Li,Andy Lau,Takeshi Kaneshiro,Jinglei Xu,"27,370",Action,Adventure,Drama,0.13,R,nan
The Legend Is Born: Ip Man,Yu-Hang To,Yi Huang,Biao Yuen,Siu-Wong Fan,"32,524",Action,Biography,Drama,nan,nan,nan
Top Gun,Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer,"474,377",Action,Drama,nan,179.80,15,142
The Last Kingdom: Seven Kings Must Die,Mark Rowley,Pekka Strang,Zoltan Andrasi,Ingrid García Jonsson,"25,876",Action,Drama,History,nan,15,182
Conan the Barbarian,Arnold Schwarzenegge,James Earl Jones,Max von Sydow,Sandahl Bergman,"155,401",Action,Adventure,Fantasy,39.57,15,299
Doctor Strange in the Multiverse of Madness,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong,"438,730",Action,Adventure,Fantasy,411.33,12A,308
Clash of the Titans,Laurence Olivie,Harry Hamlin,Claire Bloom,Maggie Smith,"45,992",Action,Adventure,Family,41.09,12,447
Game Night,Jason Bateman,Rachel McAdams,Kyle Chandler,Sharon Horgan,"244,476",Action,Adventure,Comedy,69.18,15,457
Jumanji: Welcome to the Jungle,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,"396,780",Action,Adventure,Comedy,404.52,12A,468
Captain America: The First Avenger,Chris Evan,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,"864,465",Action,Adventure,Sci-Fi,176.65,12A,650
The Mask,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,"399,030",Action,Comedy,Crime,119.94,PG,698
Mission: Impossible III,Tom Cruise,Michelle Monaghan,Ving Rhames,Philip Seymour Hoffman,"366,456",Action,Adventure,Thriller,134.03,12A,749
Solo: A Star Wars Story,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover,"360,715",Action,Adventure,Sci-Fi,213.77,12A,768
Thunderball,ean Connery,Claudine Auger,Adolfo Celi,Luciana Paluzzi,"122,429",Action,Adventure,Thriller,63.60,PG,772
The Amazing Spider-Man,Andrew Garfield,Emma Stone,Rhys Ifans,Irrfan Khan,"672,264",Action,Adventure,Sci-Fi,262.03,12A,798
Jurassic World,Chris P,Bryce Dallas Howard,Ty Simpkins,Judy Greer,"656,823",Action,Adventure,Sci-Fi,652.27,12A,840
Star Wars: Episode VIII - The Last Jedi,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher,"647,683",Action,Adventure,Fantasy,620.18,12A,877
A Knight's Tale,Heath Ledge,Mark Addy,Rufus Sewell,Shannyn Sossamon,"193,427",Action,Adventure,Romance,56.57,PG,976
Con Air,Nicolas Cage,John Cusack,John Malkovich,Colm Meaney,"308,059",Action,Crime,Thriller,101.12,15,"1,204"
X-Men: Apocalypse,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,"445,741",Action,Adventure,Sci-Fi,155.44,12A,"1,398"
Pacific Rim,Idris Elb,Charlie Hunnam,Rinko Kikuchi,Charlie Day,"513,103",Action,Adventure,Sci-Fi,101.80,12A,"1,424"
Iron Man 2,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle,"836,712",Action,Sci-Fi,nan,312.43,12A,"1,473"
Romancing the Stone,Michael Dougl,Kathleen Turner,Danny DeVito,Zack Norman,"98,577",Action,Adventure,Comedy,76.57,nan,"1,626"
National Treasure,Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,"342,873",Action,Adventure,Mystery,173.01,PG,"1,657"
Robin Hood: Prince of Thieves,Kevin Costne,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,"200,526",Action,Adventure,Drama,165.50,12,"1,729"
Atlantis: The Lost Empire,Michael J. Fox,Jim Varney,Corey Burton,Claudia Christian,"126,199",Animation,Action,Adventure,84.05,U,"1,751"
The Hitman's Bodyguard,Ryan Reynold,Samuel L. Jackson,Gary Oldman,Elodie Yung,"238,163",Action,Comedy,Crime,75.47,15,"2,007"
Dragged Across Concrete,Mel Gibson,Vince Vaughn,Tory Kittles,Michael Jai White,"50,999",Action,Crime,Drama,nan,18,"2,073"
Love and Monsters,Dylan O'Brien,Jessica Henwick,Michael Rooker,Dan Ewing,"134,302",Action,Adventure,Comedy,1.07,12,"2,082"
28 Weeks Later,Jeremy Renne,Rose Byrne,Robert Carlyle,Harold Perrineau,"283,541",Action,Adventure,Horror,28.64,18,"2,133"
Outlaw King,Chris Pine,Stephen Dillane,Rebecca Robin,Billy Howle,"76,112",Action,Biography,Drama,nan,18,"2,261"
The World's End,imon Pegg,Nick Frost,Martin Freeman,Rosamund Pike,"288,943",Action,Comedy,Sci-Fi,26.00,15,"2,495"
Pineapple Express,eth Rogen,James Franco,Gary Cole,Danny McBride,"347,736",Action,Comedy,Crime,87.34,15,"2,614"
In the Heart of the Sea,Chris Hemsworth,Cillian Murphy,Brendan Gleeson,Ben Whishaw,"143,144",Action,Adventure,Biography,25.02,12A,"2,650"
Crank,Jason Statham,Amy Smart,Carlos Sanz,Jose Pablo Cantillo,"255,601",Action,Crime,Thriller,27.83,18,"2,707"
48 Hrs.,Nick Nolte,Eddie Murphy,Annette O'Toole,Frank McRae,"81,437",Action,Comedy,Crime,78.87,18,"3,029"
Clear and Present Danger,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,"103,558",Action,Crime,Drama,122.19,12,"3,141"
Death Wish,Charles Bronson,Hope Lange,Vincent Gardenia,Steven Keats,"41,273",Action,Crime,Drama,22.00,X,"3,365"
The Edge,Anthony Hopkin,Alec Baldwin,Elle Macpherson,Harold Perrineau,"76,170",Action,Adventure,Drama,27.78,15,"3,483"
Non-Stop,Liam Neeson,Julianne Moore,Scoot McNairy,Michelle Dockery,"269,592",Action,Mystery,Thriller,92.17,15,"3,839"
The Last Castle,Robert Redford,James Gandolfini,Mark Ruffalo,Steve Burton,"82,865",Action,Drama,Thriller,18.21,15,"4,206"
The Guardian,Kevin Costne,Ashton Kutcher,Sela Ward,Melissa Sagemiller,"95,358",Action,Adventure,Drama,55.01,12A,"4,305"
Westworld,Yul Brynne,Richard Benjamin,James Brolin,Norman Bartold,"60,642",Action,Sci-Fi,Thriller,16.06,15,"4,455"
The Night Comes for Us,Iko Uwai,Joe Taslim,Julie Estelle,Hannah Al Rashid,"27,689",Action,Crime,Thriller,nan,18,"4,685"
Repo Man,Harry Dean Stanton,Emilio Estevez,Tracey Walter,Olivia Barash,"39,045",Action,Comedy,Crime,3.57,18,nan
The Monster Squad,Andre Gowe,Robby Kiger,Stephen Macht,Duncan Regehr,"33,667",Action,Comedy,Fantasy,3.77,15,nan
Free State of Jones,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali,Keri Russell,"59,701",Action,Biography,Drama,20.76,15,nan
Legend of the Guardians: The Owls of Ga'Hoole,Jim Sturge,Hugo Weaving,David Wenham,Emily Barclay,"85,239",Animation,Action,Adventure,55.68,PG,nan
Get the Gringo,Mel Gibson,Kevin Balmore,Daniel Giménez Cacho,Jesús Ochoa,"109,783",Action,Drama,Thriller,nan,15,nan
Muppet Treasure Island,Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop,"25,289",Action,Adventure,Comedy,33.61,U,nan
All Is Lost,Robert Redford,nan,nan,nan,"82,016",Action,Adventure,Drama,6.26,12A,nan
Memphis Belle,Matthew Modine,Eric Stoltz,Tate Donovan,D.B. Sweeney,"29,421",Action,Drama,War,27.44,nan,nan
Slow West,Kodi Smit-McPhee,Caren Pistorius,Aorere Paki,Jeffrey Thomas,"46,627",Action,Adventure,Drama,0.23,15,nan
The Big Boss,Bruce Lee,Maria Yi,James Tien,Marilyn Bautista,"28,151",Action,Crime,Drama,0.04,X,nan
New Police Story,Jackie Chan,Nicholas Tse,Charlie Yeung,Daniel Wu,"28,042",Action,Crime,Thriller,nan,15,nan
Agneepath,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt,Rishi Kapoor,"25,525",Action,Crime,Drama,1.98,15,nan
Alan Partridge: Alpha Papa,eve Coogan,Colm Meaney,Tim Key,Karl Theobald,"32,455",Action,Comedy,Crime,0.15,15,nan
Traitor,Don Cheadle,Guy Pearce,Archie Panjabi,Saïd Taghmaoui,"58,456",Action,Crime,Drama,23.53,12A,nan
Fan,hah Rukh Khan,Shriya Pilgaonkar,Sayani Gupta,Waluscha D'Souza,"47,522",Action,Drama,Thriller,1.36,12A,nan
The Fast and the Furious,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,"399,097",Action,Crime,Thriller,144.53,15,40
The Woman King,Viola Davi,Thuso Mbedu,Lashana Lynch,Sheila Atim,"61,160",Action,Drama,History,67.33,15,309
The Magnificent Seven,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,"219,171",Action,Adventure,Drama,93.43,12A,319
Aquaman,Jason Momo,Amber Heard,Willem Dafoe,Patrick Wilson,"491,118",Action,Adventure,Fantasy,335.06,12A,381
Ready or Not,mara Weaving,Adam Brody,Mark O'Brien,Henry Czerny,"163,709",Action,Comedy,Horror,28.71,18,411
Thor: The Dark World,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård,"699,496",Action,Adventure,Fantasy,206.36,12A,556
Mad Max,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne,Steve Bisley,"213,304",Action,Adventure,Sci-Fi,8.75,X,616
Captain Marvel,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law,"579,182",Action,Adventure,Sci-Fi,426.83,12A,647
Men in Black 3,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,"372,943",Action,Adventure,Comedy,179.02,PG,690
The Maze Runner,Dylan O'Brien,Kaya Scodelario,Will Poulter,Thomas Brodie-Sangster,"483,569",Action,Mystery,Sci-Fi,102.43,15,835
The Book of Eli,Denzel Washington,Mila Kunis,Ray Stevenson,Gary Oldman,"327,034",Action,Adventure,Drama,94.84,15,879
TRON: Legacy,Jeff Bridge,Garrett Hedlund,Olivia Wilde,Bruce Boxleitner,"345,362",Action,Adventure,Sci-Fi,172.06,PG,"1,089"
What Happened to Monday,Noomi Rapace,Glenn Close,Willem Dafoe,Marwan Kenzari,"128,209",Action,Crime,Fantasy,nan,15,"1,146"
Spectre,Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,"450,825",Action,Adventure,Thriller,200.07,12A,"1,352"
Boss Level,Frank Grillo,Mel Gibson,Naomi Watts,Michelle Yeoh,"72,804",Action,Adventure,Comedy,nan,15,"1,590"
Bad Boys,Will Smith,Martin Lawrence,Lisa Boyle,Michael Taliferro,"274,802",Action,Comedy,Crime,65.81,18,"1,815"
Kisi Ka Bhai Kisi Ki Jaan,lman Khan,Pooja Hegde,Venkatesh Daggubati,Aamir Naik,"36,116",Action,Comedy,Drama,nan,15,"1,821"
The Long Kiss Goodnight,Geena Davi,Samuel L. Jackson,Yvonne Zima,Craig Bierko,"82,402",Action,Crime,Drama,33.33,18,"1,937"
The Island,carlett Johansson,Ewan McGregor,Djimon Hounsou,Steve Buscemi,"321,035",Action,Sci-Fi,Thriller,35.82,12A,"2,072"
News of the World,Tom Hank,Helena Zengel,Tom Astor,Travis Johnson,"91,215",Action,Adventure,Drama,nan,12A,"2,182"
The Transporter,Jason Statham,Shu Qi,Matt Schulze,François Berléand,"310,803",Action,Crime,Thriller,25.30,15,"2,340"
Hellboy,Ron Perlman,Doug Jones,Selma Blair,John Hurt,"338,373",Action,Adventure,Fantasy,59.62,12A,"2,399"
The Outpost,cott Eastwood,Caleb Landry Jones,Orlando Bloom,Jack Kesy,"37,100",Action,Drama,History,nan,15,"2,411"
Chappie,harlto Copley,Dev Patel,Hugh Jackman,Sigourney Weaver,"259,549",Action,Crime,Drama,31.57,15,"2,454"
